Название,Файл
Окрошка,IMG_9994.PNG
Биточки из тюльки,IMG_9995.PNG
Сет одесских специалитетов,IMG_9996.PNG
Барабулька,IMG_9997.PNG
Салат капрезе,photo_2020-05-23_00-33-27.jpg
Котлетки из цветной капусты,photo_2020-05-23_00-34-19.jpg
Паста с семгой с хрустящей корочкой,IMG_9998.PNG
Филе дорадо,IMG_9999.PNG
Телятина в устрично-соевом соусе подаётся с овощами и паровым рисом,IMG_0001.PNG
Голубцы,IMG_0002.PNG
Стейк из тунца татаки,IMG_0003.PNG
Большой тар тар из телятины,IMG_0004.PNG
Салат Панзанелла,IMG_0005.PNG
Грибной суп,IMG_0006.PNG
Красный борщ с уткой,IMG_0007.PNG
Мини котлетки по-Киевски,IMG_0008.PNG
Сырники NEW STYLE,IMG_0009.PNG
Камбала ( есть только на море ),photo_2020-05-23_00-40-15.jpg
Плов с бараниной,photo_2020-05-23_00-40-42.jpg
Чёрные равиоли с тигровыми креветками и соусом Том Ям,IMG_0029.PNG
Вареники с вишней,IMG_0023.JPG
Котлетки из щуки,IMG_0024.JPG
Брускетта с гуакамоле и томатами,IMG_0015.PNG
Пицца Спек Маскарпоне (фонтан),IMG_0019.JPG
Карасики,photo_2020-05-23_00-45-37.jpg
Равиоли с нежным итальянским сыром буратта,IMG_0031.PNG
Красная икра,IMG_0030.PNG
Шницель по-милански,IMG_0136.JPG
Паста с семгой с хрустящей корочкой,IMG_0109.JPG
Бефстроганов,IMG_0110.JPG
Оливье с лососем,IMG_0111.JPG
Окрошка,IMG_0117.JPG
Пицца MAMAN ( фонтан),IMG_0119.JPG
Салат с карамелизованным яблоком и куриной печенью,IMG_0121.JPG
Салат панзанелла,photo_2020-05-23_00-52-09.jpg
Нежное картофельное пюре с пармезаном ( гарниры),photo_2020-05-23_00-52-31.jpg
Форшмак (закуски),photo_2020-05-23_00-52-59.jpg
сельдь с тёплым картофелем,IMG_0127.JPG
Салат капрезе,IMG_0129.JPG
Тартар из лосося и авокадо,IMG_0130.JPG
Цезарь с курицей (фонтан),IMG_0132.JPG
Равиоли с моцареллой и соусом Дор Блю,IMG_0135.JPG